method,FactorName,FactorNumber,RowInd,ColInd,Val
truth,V,1,20,14,0.0318790747692068
truth,V,1,21,14,0
truth,V,1,22,14,0
truth,V,1,23,14,0
truth,V,1,24,14,0
truth,V,1,25,14,0
truth,V,1,26,14,0
truth,V,1,27,14,0
truth,V,1,28,14,0
truth,V,1,29,14,0
truth,V,1,30,14,0
truth,V,1,31,14,0
truth,V,1,32,14,0
truth,V,1,33,14,0
truth,V,1,34,14,0
truth,V,1,35,14,0
truth,V,1,36,14,0
truth,V,1,37,14,0
truth,V,1,38,14,0
truth,V,1,39,14,0
truth,V,1,40,14,0
truth,V,1,41,14,0
truth,V,1,42,14,0
truth,V,1,43,14,0
truth,V,1,44,14,0
truth,V,1,45,14,0
truth,V,1,46,14,0
truth,V,1,47,14,0
truth,V,1,48,14,0
truth,V,1,49,14,0
truth,V,1,50,14,0
truth,V,1,1,15,0.00424232015123203
truth,V,1,2,15,0.0497701752712618
truth,V,1,3,15,0.094941780422117
truth,V,1,4,15,0.00942521119226132
truth,V,1,5,15,0.0320757870226448
truth,V,1,6,15,-0.0552312187108187
truth,V,1,7,15,0.0462654824373897
truth,V,1,8,15,-0.0507168230551203
truth,V,1,9,15,0.0202163846279067
truth,V,1,10,15,0.0237028482643412
truth,V,1,11,15,-0.0165553321338364
truth,V,1,12,15,0.0208989431717434
truth,V,1,13,15,-0.0284580411924448
truth,V,1,14,15,-0.0335883482908914
truth,V,1,15,15,0.0305269794292768
truth,V,1,16,15,-0.0353615149821961
truth,V,1,17,15,-0.0301699689492556
truth,V,1,18,15,-0.0228911262896498
truth,V,1,19,15,-0.0454055527273367
truth,V,1,20,15,-0.0289734955489866
truth,V,1,21,15,0
truth,V,1,22,15,0
truth,V,1,23,15,0
truth,V,1,24,15,0
truth,V,1,25,15,0
truth,V,1,26,15,0
truth,V,1,27,15,0
truth,V,1,28,15,0
truth,V,1,29,15,0
truth,V,1,30,15,0
truth,V,1,31,15,0
truth,V,1,32,15,0
truth,V,1,33,15,0
truth,V,1,34,15,0
truth,V,1,35,15,0
truth,V,1,36,15,0
truth,V,1,37,15,0
truth,V,1,38,15,0
truth,V,1,39,15,0
truth,V,1,40,15,0
truth,V,1,41,15,0
truth,V,1,42,15,0
truth,V,1,43,15,0
truth,V,1,44,15,0
truth,V,1,45,15,0
truth,V,1,46,15,0
truth,V,1,47,15,0
truth,V,1,48,15,0
truth,V,1,49,15,0
truth,V,1,50,15,0
truth,V,1,1,16,-0.00491417331133628
